model,trial_id,score,neurons,dropout,learning_rate,lstm_units,gru_units,cnn_filters,kernel_size,hidden_size,num_heads
mlp,0,4466.138671875,128.0,0.2,0.001,,,,,,
mlp,1,4472.84375,64.0,0.5,0.001,,,,,,
mlp,3,4487.5224609375,256.0,0.2,0.0001,,,,,,
mlp,2,4497.24853515625,32.0,0.5,0.001,,,,,,
mlp,4,4500.7080078125,32.0,0.4,0.01,,,,,,
lstm,3,4117.00341796875,,0.2,0.0001,128.0,,,,,
lstm,2,4211.45703125,,0.5,0.0001,32.0,,,,,
lstm,0,4226.03857421875,,0.2,0.001,64.0,,,,,
lstm,4,4249.95458984375,,0.3,0.001,32.0,,,,,
lstm,1,4273.8740234375,,0.5,0.001,32.0,,,,,
gru,3,4123.6259765625,,0.2,0.0001,,128.0,,,,
gru,0,4146.103515625,,0.2,0.001,,64.0,,,,
gru,1,4211.06982421875,,0.5,0.001,,32.0,,,,
gru,4,4227.99755859375,,0.3,0.001,,32.0,,,,
gru,2,4326.240234375,,0.5,0.0001,,32.0,,,,
cnn_lstm,3,4114.55517578125,,0.2,0.001,32.0,,32.0,3.0,,
cnn_lstm,2,4122.90185546875,,0.2,0.0001,128.0,,64.0,3.0,,
cnn_lstm,0,4181.521484375,,0.2,0.0001,64.0,,64.0,2.0,,
cnn_lstm,4,4188.8232421875,,0.3,0.001,64.0,,64.0,3.0,,
cnn_lstm,1,4268.38671875,,0.3,0.001,32.0,,32.0,3.0,,
cnn_gru,2,4122.88525390625,,0.2,0.0001,,128.0,64.0,3.0,,
cnn_gru,0,4186.28173828125,,0.2,0.0001,,64.0,64.0,2.0,,
cnn_gru,1,4203.5673828125,,0.3,0.001,,32.0,32.0,3.0,,
cnn_gru,4,4314.98095703125,,0.3,0.001,,64.0,64.0,3.0,,
cnn_gru,3,4932.833984375,,0.2,0.001,,32.0,32.0,3.0,,
tft,0,3953.87548828125,,0.2,0.001,,,,,64.0,2.0
tft,2,4019.72119140625,,0.3,0.0005,,,,,64.0,2.0
tft,4,4024.142822265625,,0.1,0.0005,,,,,64.0,2.0
tft,3,4055.7138671875,,0.3,0.001,,,,,128.0,2.0
tft,1,4121.41162109375,,0.2,0.001,,,,,128.0,4.0
