model_a,model_b,rank_a,rank_b,rank_diff,critical_diff,significant
cnn_gru,cnn_lstm,4.2,4.0,0.20000000000000018,3.372165476366781,False
cnn_gru,gru,4.2,4.4,0.20000000000000018,3.372165476366781,False
cnn_gru,lstm,4.2,3.0,1.2000000000000002,3.372165476366781,False
cnn_gru,mlp,4.2,1.0,3.2,3.372165476366781,False
cnn_gru,tft,4.2,4.4,0.20000000000000018,3.372165476366781,False
cnn_lstm,gru,4.0,4.4,0.40000000000000036,3.372165476366781,False
cnn_lstm,lstm,4.0,3.0,1.0,3.372165476366781,False
cnn_lstm,mlp,4.0,1.0,3.0,3.372165476366781,False
cnn_lstm,tft,4.0,4.4,0.40000000000000036,3.372165476366781,False
gru,lstm,4.4,3.0,1.4000000000000004,3.372165476366781,False
gru,mlp,4.4,1.0,3.4000000000000004,3.372165476366781,True
gru,tft,4.4,4.4,0.0,3.372165476366781,False
lstm,mlp,3.0,1.0,2.0,3.372165476366781,False
lstm,tft,3.0,4.4,1.4000000000000004,3.372165476366781,False
mlp,tft,1.0,4.4,3.4000000000000004,3.372165476366781,True
